variable,label,n,threshold,pos_rate,tp_rate,fp_rate,harm,net_benefit
famhistory,Family History,750,0.8,0.14,0.032,0.12133333333333335,0,-0.4533333333333335
famhistory,Family History,750,0.81,0.14,0.032,0.12133333333333335,0,-0.48526315789473706
famhistory,Family History,750,0.8200000000000001,0.14,0.032,0.12133333333333335,0,-0.520740740740741
famhistory,Family History,750,0.8300000000000001,0.14,0.032,0.12133333333333335,0,-0.5603921568627455
famhistory,Family History,750,0.84,0.14,0.032,0.12133333333333335,0,-0.605
famhistory,Family History,750,0.85,0.14,0.032,0.12133333333333335,0,-0.6555555555555556
famhistory,Family History,750,0.86,0.14,0.032,0.12133333333333335,0,-0.7133333333333334
famhistory,Family History,750,0.87,0.14,0.032,0.12133333333333335,0,-0.78
famhistory,Family History,750,0.88,0.14,0.032,0.12133333333333335,0,-0.857777777777778
famhistory,Family History,750,0.89,0.14,0.032,0.12133333333333335,0,-0.9496969696969699
famhistory,Family History,750,0.9,0.14,0.032,0.12133333333333335,0,-1.0600000000000003
famhistory,Family History,750,0.91,0.14,0.032,0.12133333333333335,0,-1.1948148148148152
famhistory,Family History,750,0.92,0.14,0.032,0.12133333333333335,0,-1.3633333333333344
famhistory,Family History,750,0.93,0.14,0.032,0.12133333333333335,0,-1.5800000000000014
famhistory,Family History,750,0.9400000000000001,0.14,0.032,0.12133333333333335,0,-1.868888888888891
famhistory,Family History,750,0.9500000000000001,0.14,0.032,0.12133333333333335,0,-2.273333333333337
famhistory,Family History,750,0.96,0.14,0.032,0.12133333333333335,0,-2.8799999999999977
famhistory,Family History,750,0.97,0.14,0.032,0.12133333333333335,0,-3.8911111111111083
famhistory,Family History,750,0.98,0.14,0.032,0.12133333333333335,0,-5.913333333333329
famhistory,Family History,750,0.99,0.14,0.032,0.12133333333333335,0,-11.979999999999992
